"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"PPARGC1A",7.45549846996144,9.70217268536555,11.2957689344205,10.692724462462,10.0371179251902,10.714549625478,10.1599238819528,11.1364838585924,10.9872492062499,9.35553463366364,10.3542034585449,9.10972184955797,9.64351801849352,7.78490743813177,8.48121079977011,8.72550827652006,9.97519118024974,8.8064824934592,5.57427814958958,8.4482023618223,8.66615001666339,7.45327063401062,0,10.2162658907122,9.92614153555561,9.41036301324997,7.60208021386625,6.98939449984473,0,5.35608510550201,7.21553299974566,2.81164228039221,8.94043595804634,7.52926785973014,8.81277897162766,7.42329102609472,9.1989054025819,7.6958082691775,7.82190682048939
"PTMS",11.3795024676249,13.0421545366791,11.7294348720157,10.9177450134432,11.6031047108738,12.3498974268667,9.05641192366368,12.8347631872847,13.2968714086678,12.8112492450397,11.4747833101666,13.4792118635854,12.8347631872847,13.242693426629,13.6670260481044,13.4206017448753,14.2216830885575,13.8356721376669,13.5095095668183,14.8106228847488,14.2216830885575,14.2216830885575,14.6788809141227,13.6670260481044,15.4280343278249,14.3576379094919,14.8106228847488,14.2719386558597,13.5784193765095,14.2216830885575,15.4280343278249,14.8106228847488,14.6788809141227,14.3576379094919,15.4280343278249,14.4204825007969,13.5420947795387,15.018476403861,14.4956624800663
"GOLGB1",12.0972503016715,12.2979909468467,12.7207296715052,12.7051733731862,13.4792118635854,12.2750089882042,10.7299393247713,12.928861458824,12.8756173798652,12.6631272103993,12.8347631872847,12.5349158326822,11.2362260150614,11.0562002121318,11.0368032232127,11.5680352727325,11.0664956764409,11.2748270446252,12.3647103503147,11.4173251176799,11.1812816916215,11.5328429109613,11.079984707034,12.0175044011094,11.912569720306,10.8609414656968,11.3614412276554,10.605537391381,8.69769158888944,10.5916781707245,11.1779385488463,12.5657119999173,10.1048990112311,0,11.0237687891858,10.8662486113688,12.0060995804189,10.7490139178637,10.930567953596
"RNU4-2",10.1578469067807,13.5784193765095,12.4286764036509,13.2207498876427,11.6293091820477,10.6734563121721,7.90136975184637,13.4206017448753,11.3728537268608,10.7299393247713,13.060639645727,12.9732750835924,14.4204825007969,14.3576379094919,14.6788809141227,13.4792118635854,15.018476403861,14.6788809141227,14.1526264990342,14.4956624800663,14.3576379094919,14.6788809141227,14.4204825007969,14.4956624800663,13.8356721376669,15.018476403861,14.3576379094919,14.3576379094919,16.2973230602156,14.8106228847488,15.018476403861,15.4280343278249,15.1764540050314,14.8106228847488,13.1731793674931,14.3576379094919,14.2719386558597,15.1764540050314,15.1764540050314
"LRRC28",7.20436735969735,6.03112681278742,6.72706955802371,6.29576893442051,6.8675361565598,6.54109661534952,6.60825482197791,4.98109153729767,5.78899015473601,5.38154295118458,5.67536901793055,5.4858293087019,6.43358544115049,0,0,0,0,3.2667865406949,4.70850914793305,0,1.3808217841256,5.68123841177781,5.9048854597984,5.95516553793846,4.16155182014859,3.80305478427945,0,0,0,0,5.62692579392216,5.60177078840771,0,0,0,0,4.32042450453767,0,0
"AKAP9",11.7929173580967,11.5402289621796,11.299625404677,12.0972503016715,11.9881594959893,11.6562106925319,11.7681240045521,12.2377327981342,12.1603966983258,11.8692805570308,12.1224505587368,12.0972503016715,10.3720488252728,10.0197644528497,11.4950117930127,9.59545175509263,8.72855829778672,10.8647503935344,11.2547333892467,9.79004298126546,11.086357412241,9.88645869570371,8.07692691164003,11.8143070779251,11.4643223858815,11.680322891694,10.7364724009371,11.7179084294385,9.01930114094998,10.5798658795649,10.4528632538843,10.1375782348213,10.3833892981081,8.92140707188627,11.2922377417881,8.42066204861306,11.3072126700493,10.2150273405644,10.5266214962479
"PIK3C3",7.99859042974533,8.4648860485933,9.62890115202819,9.31736550312328,9.2945250254271,9.45391363221215,8.74420315113283,9.01930114094998,9.15423796143572,8.96138940006186,9.41380420056985,8.78790255939143,8.502334580198,8.27980401085702,7.8443134612033,7.12174934391426,9.15064640702129,6.42661420239912,8.85317957691851,7.561128804165,8.08591500349883,7.35167543798699,0,8.34900471802774,7.78517997855623,7.67948009950545,3.60979435330718,8.04348303923375,7.23082104308687,7.28867385609446,7.88315238545324,5.60177078840771,6.69058005583114,0,8.49768554149879,6.24555270625568,7.98334992767646,5.60671364572996,7.02951730315608
"MACF1",12.9732750835924,13.4477209171642,13.3834314896043,13.6670260481044,13.3588486239914,13.8788073081098,11.5253372795656,13.5095095668183,13.1402273241376,13.5784193765095,13.6273153810192,13.5420947795387,12.3111392599029,13.1402273241376,13.2207498876427,13.242693426629,10.7461293834406,12.3425029856398,12.551948530593,11.6092941860707,12.6425970393888,11.7127419270757,10.8261843252846,13.1881734856935,12.0644480665487,11.9553017833887,11.8937518287077,12.203124922626,12.3111392599029,11.3539738218182,11.7231187300337,11.9657993127774,11.4335854411505,10.144737894732,11.4055182238576,10.6014419510793,13.6273153810192,11.0522142394443,11.6139812588115
"SLC35A5",6.31741261376487,7.59214554073331,5.93073733756289,7.20212382383046,6.96048468134307,7.69392248808101,6.83578725799664,6.868822554775,6.51766938813381,6.66266837551754,7.40230151163566,6.39410537081653,5.68416417852179,6.05618609676235,0,0,0,0,6.3568187414987,2.6196086434498,2.38658105332158,5.68123841177781,0,6.06653771985983,6.06922597226677,2.6724253419715,0,0,0,0,0,2.81164228039221,5.63178335737716,0,0,5.37793350450046,6.19680701120753,5.60671364572996,2.14295795395093
"FLNB",11.7504365778128,11.4096782091135,12.05069894443,12.3783343731291,11.7294348720157,11.8192310845252,9.08314687081674,12.1039570856139,12.0115184676452,11.7454554945978,11.4519945056093,11.7231187300337,11.1911363454382,11.5475874331786,10.493417671953,11.6061256382294,9.30829162226491,10.9693115661711,11.4950117930127,9.30544429058021,10.8832956043515,9.99788512782911,8.59750944834557,11.4610850398519,10.8469104844797,11.1050354709166,9.86660280078721,9.51623352352094,10.2087424036297,10.654039256746,10.5474368151234,10.2213857255883,10.7476685192036,9.54765771615919,11.1911363454382,9.91447856792769,11.7504365778128,10.0953145995606,10.7920276764265
"MKLN1",9.1689854409787,9.79742510987866,10.487170103111,10.1639116931853,10.1996723448364,10.0473795655671,9.24570124628576,9.63129075669634,9.13773831837418,10.04339759571,10.3993669436847,9.71008892477904,9.12949768764901,9.79333235513654,10.0762867350295,9.49222874925222,0,8.6761039993958,8.47725232393795,8.10011476413142,8.63201065508409,7.73499181019152,7.64175072365701,9.37594445311694,6.99741473454316,6.66829407858718,8.14423335858092,6.7279204545632,8.4482023618223,3.36923380961918,6.88518793414638,8.11059205686581,6.25974326369078,9.30596672209822,8.98898048475621,5.37793350450046,8.70231700549721,7.17783476210921,6.36668648512519
"KIDINS220",10.607580759591,10.3982538052581,10.7042999426987,10.8552578271932,10.2904269002221,10.8489651878354,10.0247356799015,10.5853146782015,10.6593827505121,10.488216732996,10.6107557271186,10.4840256509547,9.45206960347103,9.07341636431569,8.68460253200116,10.5055014503049,8.99039947101785,8.08967116122264,9.31184290252802,7.98002053867441,9.95586176808318,7.82416320974416,8.59750944834557,10.4046980886606,9.33618108925833,9.10120970586311,9.9284875323437,8.83946626321162,7.99753234752637,9.19136771341894,8.99829659575531,9.81177605532666,8.40327837547105,0,9.6480579256934,9.70613623482033,10.2698815384129,8.77924056585478,8.61340579946949
"SNORD89",7.09737376899022,10.0106155181099,10.3821736765806,10.4250191587427,9.84454231765334,8.12949768790659,7.57900159043961,10.1438614818679,9.82638297032796,8.9473934246651,10.1684370813334,10.3754467613692,13.1881734856935,12.888445985812,11.5913080614591,10.6005904959068,12.5259897230409,11.8349565414347,10.9723815300081,12.0436325528148,13.4792118635854,13.1191944464936,11.0058291973897,12.2377327981342,11.6700937393276,12.9079351381061,12.3783343731291,13.6273153810192,9.34147249325495,13.2968714086678,12.7688778278056,10.4902450311784,12.9732750835924,13.5095095668183,12.1312139050863,13.4792118635854,12.7207296715052,13.3834314896043,13.1191944464936
"ADH5",8.65022902467527,8.43974432674528,8.42434127774366,9.1698728197719,9.00363502833183,9.33734314727405,8.97387670561081,8.77286438159956,8.68167765520969,8.57679924245757,8.24871824809169,8.59455787986373,7.47488890977932,6.05618609676235,6.43844534247451,8.62052531930722,0,7.87562137938534,8.06575270181697,4.98489310776165,4.81378119121704,7.55762324737987,6.71596199025514,7.40726776424473,6.06922597226677,5.2344182900157,2.02236781302845,3.94446805311264,5.07948478382681,8.04484944347898,0,5.19803570806825,4.61838550225861,0,8.35112328110579,6.55170826162069,6.5018371849023,8.30748544858948,5.94153673833716
"TMX3",8.98228060455828,9.19403861064363,8.89361754415832,8.55306925714363,8.48675123906455,8.74840252839818,8.38990017277306,8.19342268870581,8.45069577157292,8.7026777421574,9.08536180175495,8.46207618337044,7.27573653158049,6.94324739590155,6.62327185756985,7.12174934391426,7.85577692208552,6.07770587486759,7.714674827308,2.6196086434498,7.55154806032882,7.90563771249898,5.9048854597984,8.42984258801815,7.44190670454224,4.34281546159818,7.19126488745705,6.41538967681549,5.65105169117893,7.72550827617923,6.49718654057948,9.20222587852544,5.63178335737716,7.14253256864463,7.23401903903073,5.85901704196295,7.868822554775,7.17783476210921,5.94153673833716
"SEC31A",9.7528335955676,10.3257739085779,10.1205618964429,10.1495883635165,10.1763030319508,9.78814054086923,9.76635636007005,9.85425154867118,10.0068520017488,10.0868549606788,10.368756529164,9.93866070976919,8.84581671131088,9.12949768764901,7.73738819660195,8.79961891268903,9.17435356620144,8.6761039993958,10.0876009607547,6.27961058105249,8.94288099715904,9.62418620969553,9.11271099122986,9.19049346176568,8.51076416791789,8.53048762243208,7.69609817095586,8.62981194438223,8.18032359783675,7.96722625883599,7.68970684111977,6.90538700501813,7.8578514371613,8.36486421018383,7.84901407369482,6.55170826162069,9.27534855427593,9.44324575294629,6.54399845013454
"SMARCA1",8.69588075025756,9.09319745690965,9.87402076765898,10.1381384477677,9.4311928755118,10.0579353306868,9.59929299474619,10.1335168623564,10.0945175983444,9.94379681959879,10.0924268157803,9.68244600956926,8.77554169704473,7.64805792551359,5.73414507519417,9.03731815458595,7.30187720546803,7.62281446445084,9.96247431435401,4.35608510585425,8.08591500349883,8.94867141162386,5.9048854597984,9.12906831429351,8.30701101815256,7.91886323727459,8.3472522513949,7.41591778155606,6.74679421108653,7.28867385609446,3.70274987845896,7.65090215060015,7.01796829056514,8.36486421018383,8.02444712404065,8.212597708559,8.44544600318985,7.17783476210921,7.63087380899868
